GR,F1,AGE,Count
Мужчины,All,40-44,171
Мужчины,All,45-49,251
Мужчины,All,50-54,330
Мужчины,All,55-59,490
Мужчины,All,60-64,603
Мужчины,All,65-69,657
Мужчины,All,70-74,591
Женщины,C50,Всего,105
Женщины,C33-C34,0-4,
Женщины,C50,0-4,
Женщины,C50,5-9,
Женщины,C50,10-14,
Женщины,C50,15-19,
Женщины,C50,20-24,
Женщины,C50,25-29,
Женщины,C50,30-34,2
Женщины,C50,35-39,2
Женщины,C50,40-44,8
Женщины,C50,45-49,9
Женщины,C50,50-54,15
Женщины,C50,55-59,8
Женщины,C50,60-64,17
Женщины,C50,65-69,18
Женщины,C50,70-74,26
Женщины,E10-E14,Всего,176
Женщины,E10-E14,0-4,
Женщины,E10-E14,5-9,
Женщины,E10-E14,10-14,
Женщины,E10-E14,15-19,1
Женщины,E10-E14,20-24,
Женщины,E10-E14,25-29,
Женщины,E10-E14,30-34,
Женщины,E10-E14,35-39,1
Женщины,E10-E14,40-44,1
Женщины,E10-E14,45-49,4
Женщины,E10-E14,50-54,6
Женщины,E10-E14,55-59,12
Женщины,E10-E14,60-64,34
Женщины,E10-E14,65-69,53
Женщины,E10-E14,70-74,64
Женщины,"I10-I13, I15",0-4,
Женщины,I20-I25,Всего,411
Женщины,I20-I25,0-4,
Женщины,I20-I25,5-9,
Женщины,I20-I25,10-14,
Женщины,I20-I25,15-19,
Женщины,I20-I25,20-24,
Женщины,I20-I25,25-29,
Женщины,I20-I25,30-34,1
Женщины,I20-I25,35-39,2
Женщины,I20-I25,40-44,10
Женщины,I20-I25,45-49,22
Женщины,I20-I25,50-54,34
Женщины,I20-I25,55-59,29
Женщины,I20-I25,60-64,67
Женщины,I20-I25,65-69,90
Женщины,I20-I25,70-74,156
Женщины,I60-I69,Всего,318
Женщины,I60-I69,0-4,6
Женщины,I60-I69,5-9,
Женщины,I60-I69,10-14,
Женщины,I60-I69,15-19,
Женщины,I60-I69,20-24,
Женщины,I60-I69,25-29,
Женщины,I60-I69,30-34,1
Женщины,I60-I69,35-39,7
Женщины,I60-I69,40-44,14
Женщины,I60-I69,45-49,19
Женщины,I60-I69,50-54,20
Женщины,I60-I69,55-59,30
Женщины,I60-I69,60-64,57
Женщины,I60-I69,65-69,79
Женщины,I60-I69,70-74,85
Женщины,J40-J44,Всего,110
Женщины,J40-J44,0-4,
Женщины,J40-J44,5-9,
Женщины,J40-J44,10-14,
Женщины,J40-J44,15-19,
Женщины,J40-J44,20-24,
Женщины,J40-J44,25-29,
