GR,МКБ-10,Всего,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
Мужчины,X66-X84,0,,,,,,,,,,,,,,,
Мужчины,Y16-Y34,0,,,,,,,,,,,,,,,
Мужчины,X86-Y09,0,,,,,,,,,,,,,,,
Мужчины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",113,,,,,1,1,8,5,20,31,12,22,10,3,
Мужчины,"K73, K74.0-K74.2, K74.6",239,,,,,1,2,2,13,28,29,41,36,38,35,14
Мужчины,"F11-F16, F18-F19, X40-X44, X85, Y10-Y14",2,,,,,,,,1,,1,,,,,
Мужчины,X60-X64,0,,,,,,,,,,,,,,,
Мужчины,U07.1 - U07.2 (COVID-19),54,,,,1,1,,,,2,3,6,6,12,8,15
Мужчины,All,3374,83,6,10,11,8,17,56,90,171,251,330,490,603,657,591
Женщины,A00-A09,1,1,,,,,,,,,,,,,,
Женщины,"A35, A36, A80",0,,,,,,,,,,,,,,,
Женщины,A37,0,,,,,,,,,,,,,,,
Женщины,A39,1,1,,,,,,,,,,,,,,
Женщины,"A40.3, A41.3",0,,,,,,,,,,,,,,,
Женщины,A49.2,0,,,,,,,,,,,,,,,
Женщины,"A50-A60, A63, A64",0,,,,,,,,,,,,,,,
Женщины,B01,1,1,,,,,,,,,,,,,,
Женщины,B05,0,,,,,,,,,,,,,,,
Женщины,B06,0,,,,,,,,,,,,,,,
Женщины,B15-B19,1,1,,,,,,,,,,,,,,
Женщины,B20-B24,8,,,,,,,,1,2,1,2,1,,1,
Женщины,B50-B54,0,,,,,,,,,,,,,,,
Женщины,"G00.0, G00.1",0,,,,,,,,,,,,,,,
Женщины,"A15-A19, B90, J65",16,,,,,,,1,2,3,1,2,2,1,2,2
Женщины,A38,0,,,,,,,,,,,,,,,
Женщины,"A40 (excl. A40.3), A41 (excl. A41.3)",1,,,,,1,,,,,,,,,,
Женщины,"A46, L03",9,,,,,,,,,3,,,3,2,,1
Женщины,A48.1,0,,,,,,,,,,,,,,,
Женщины,A49.1,0,,,,,,,,,,,,,,,
Женщины,"G00.2, G00.3, G00.8, G00.9",1,,,,,,,,,,1,,,,,
Женщины,G03,2,,,,,,,,,,,,,1,,1
Женщины,C00-C14,11,,,,,,,,,1,1,2,2,3,1,1
Женщины,C15,4,,,,,,,,,,,,1,,2,1
Женщины,C16,57,,,,,1,,1,4,3,5,2,8,6,17,10
Женщины,C22,23,2,,,,,,,1,,1,2,3,5,4,5
Женщины,C33-C34,53,,,,2,,,1,,1,5,8,5,9,8,14
Женщины,C45,0,,,,,,,,,,,,,,,
Женщины,C43,4,,,,,,,,,,1,,1,1,1,
Женщины,C67,1,,,,,,,,,,,,,,1,
Женщины,C53,60,,,,,,2,5,3,5,9,8,5,9,7,7
Женщины,C18-C21,65,,,,,1,1,,2,1,4,4,8,14,14,16
Женщины,C50,105,,,,,,,2,2,8,9,15,8,17,18,26
Женщины,"C54,C55",24,,,,,,,,,,,3,3,3,6,9
Женщины,C62,0,,,,,,,,,,,,,,,
Женщины,C73,7,,,,,,,1,,,,,,2,1,3
Женщины,C81,1,,,,,,,,,,,,,,,1
Женщины,"C91.0, C91.1",15,5,1,2,1,,,,,1,,,,2,2,1
